pl_name,pl_rade,pl_bmasse
"GJ 1132 b",1.19151465,1.83704819
"HAT-P-50 b",14.43719200,429.07050000
"HAT-P-51 b",13.50682174,97.57332095
"HAT-P-52 b",11.30988100,259.98494000
"HAT-P-53 b",14.77346200,471.65972000
"HD 219134 f",1.31000000,7.30000000
"WASP-135 b",14.57170000,603.87700000
"K2-25 b",3.44000000,24.50000000
"WASP-76 b",20.78145022,284.13859586
"WASP-90 b",18.27067000,200.23290000
"KELT-4 A b",19.04409100,286.68266000
"KELT-14 b",19.53728700,408.09372000
"KELT-15 b",19.50366000,416.35730000
"K2-29 b",13.33871000,232.01590000
"HATS-17 b",8.70939300,425.25654000
"K2-30 b",11.64615100,184.02357000
"KELT-10 b",15.68139100,215.80657000
"TRAPPIST-1 b",1.11600000,1.37400000
"TRAPPIST-1 c",1.09700000,1.30800000
"TRAPPIST-1 d",0.78800000,0.38800000
"WASP-119 b",15.69260000,390.93090000
"WASP-124 b",13.89916000,190.69800000
"WASP-129 b",10.42437000,317.83000000
"WASP-133 b",13.56289000,368.68280000
"Kepler-1647 b",11.87390000,483.00000000
"HATS-25 b",14.12334000,194.82979000
"HATS-26 b",19.61575000,206.58950000
"HATS-27 b",16.81350000,168.44990000
"HATS-28 b",13.38354600,213.58176000
"HATS-29 b",14.02245900,207.54299000
"HATS-30 b",13.17057500,224.38798000
"WASP-121 b",19.52604438,371.85923619
"HATS-15 b",12.38594500,689.69110000
"HATS-16 b",14.57170000,1039.30410000
"K2-38 b",1.54000000,7.30000000
"K2-38 c",2.29000000,8.30000000
"HIP 41378 b",2.64000000,6.90000000
"HIP 41378 c",2.74000000,5.97000000
"HIP 41378 d",3.65000000,6.53000000
"HIP 41378 e",5.19000000,7.62000000
"HIP 41378 f",9.47000000,25.00000000
"WASP-113 b",15.79348100,150.96925000
"WASP-114 b",15.00885100,562.24127000
"BD+20 594 b",2.57807000,22.24810000
"HD 3167 b",1.60100000,4.84400000
"HD 3167 c",2.98300000,11.41000000
"KELT-17 b",17.09372500,416.35730000
"WASP-92 b",16.37634900,255.85315000
"WASP-93 b",17.90077300,467.21010000
"WASP-118 b",16.14096000,163.36462000
"HAT-P-65 b",18.05766791,176.07693748
"HAT-P-66 b",17.82231000,248.86089000
"HATS-18 b",14.89676100,629.14448500
"WASP-130 b",9.97601000,390.93090000
"WASP-131 b",13.74221034,86.76715511
"WASP-132 b",10.09929161,136.03055820
"WASP-139 b",8.96720000,37.18611000
"WASP-141 b",13.56289000,854.96270000
"WASP-142 b",17.14977000,266.97720000
"HATS-31 b",18.38276000,279.69040000
"HATS-32 b",14.00004100,292.40360000
"HATS-33 b",13.78707000,378.85336000
"HATS-34 b",16.02887000,299.07803000
"Kepler-418 b",13.45000000,349.61124770
"HATS-35 b",16.40997600,388.38826000
"WASP-127 b",14.69499900,52.34660100
"WASP-138 b",12.21781000,387.75260000
"XO-6 b",23.20263000,1398.45200000
"EPIC 220674823 b",1.60600000,7.54000000
"EPIC 220674823 c",2.71200000,7.90000000
"WASP-53 b",12.03846600,677.61356000
"WASP-81 b",16.01766100,231.69807000
"KELT-16 b",15.86073500,874.03250000
"TRAPPIST-1 e",0.92000000,0.69200000
"TRAPPIST-1 f",1.04500000,1.03900000
"TRAPPIST-1 g",1.12900000,1.32100000
"TRAPPIST-1 h",0.75500000,0.32600000
"HD 106315 b",2.44000000,12.60000000
"HD 106315 c",4.35000000,15.20000000
"HATS-22 b",10.68217700,870.85420000
"HATS-23 b",20.84874000,467.21010000
"HATS-24 b",15.63655500,718.29580000
"HAT-P-67 b",23.98721870,143.02278315
"Qatar-3 b",12.28506400,1369.84730000
"Qatar-4 b",12.72221500,1938.76300000
"Qatar-5 b",12.40836300,1373.02560000
"LHS 1140 b",1.73000000,5.60000000
"KELT-18 b",17.59813000,375.03940000
"KELT-12 b",19.95202000,301.93850000
"KELT-11 b",15.13212395,65.15482343
"KELT-9 b",21.70058664,915.34581216
"HIP 65426 b",16.81350000,2860.47000000
"WASP-167 b",17.71022000,2542.64000000
"WASP-91 b",11.54527000,425.89220000
"WASP-105 b",10.76064000,572.09400000
"CoRoT-32 b",6.38913000,47.67450000
"K2-131 b",1.69000000,7.90000000
"K2-132 b",14.57170000,155.73670000
"WASP-151 b",13.30506009,100.43377661
"WASP-153 b",17.37395000,123.95370000
"WASP-156 b",6.15000000,42.00000000
"GJ 9827 b",1.44000000,4.28000000
"GJ 9827 c",1.13000000,1.86000000
"GJ 9827 d",1.98000000,3.02000000
"KELT-20 b",19.51486900,1074.90106000
"NGTS-1 b",14.90797000,258.07796000
"K2-136 b",1.01400000,4.30000000
"K2-136 c",3.00000000,18.10000000
"K2-136 d",1.56500000,3.00000000
"K2-140 b",13.56286665,295.58041851
"HATS-50 b",12.66617000,123.95370000
"HATS-51 b",15.80469000,244.09344000
"HATS-52 b",15.49083800,711.93920000
"HATS-53 b",15.02006000,189.10885000
"K2-138 b",1.51000000,3.10000000
"K2-138 c",2.29900000,6.31000000
"K2-138 d",2.39000000,7.92000000
"K2-138 e",3.39000000,12.97000000
"K2-138 f",2.90400000,1.63000000
"KELT-19 A b",21.40919000,1293.56810000
"K2-141 b",1.51000000,4.97000000
"K2-141 c",7.00000000,8.00000000
"KELT-21 b",17.77747400,1242.71530000
"Kepler-1654 b",9.18017100,158.91500000
"K2-232 b",11.20900000,126.49634000
"HATS-39 b",17.59813000,200.23290000
"HATS-40 b",17.71022000,505.34970000
"HATS-41 b",14.90797000,3082.95100000
"HATS-42 b",15.69260000,597.52040000
"KPS-1 b",11.54527000,346.43470000
"K2-233 b",1.31500000,2.40000000
"K2-233 c",1.27200000,4.60000000
"K2-233 d",2.36300000,10.30000000
"HATS-43 b",13.22662000,82.95363000
"HATS-44 b",11.96000300,177.98480000
"HATS-45 b",14.41477400,222.48100000
"HATS-46 b",10.12172700,54.98459000
"HATS-7 b",6.31066700,38.13960000
"NGTS-3 A b",16.58932000,756.43540000
"HD 89345 b",7.39794000,34.96130000
"K2-237 b",16.06246934,434.15360396
"K2-238 b",14.57170000,273.33380000
"Kepler-128 b",1.42100000,3.79000000
"K2-260 b",18.41635529,546.66486004
"K2-261 b",9.26982704,68.96876432
"WASP-174 b",16.10730527,104.88337431
"Wolf 503 b",2.04300000,6.26000000
"NGTS-2 b",17.87835500,235.19420000
"EPIC 246851721 b",11.78065900,953.49000000
"K2-266 b",3.30000000,11.26782377
"K2-266 c",0.70500000,0.29013072
"K2-266 d",2.93000000,8.90000000
"K2-266 e",2.73000000,14.30000000
"WASP-144 b",9.52765000,139.84520000
"WASP-145 A b",10.08810000,282.86870000
"WASP-158 b",11.99363000,886.74570000
"WASP-159 b",15.46842000,174.80650000
"WASP-162 b",11.20900000,1652.71600000
"WASP-168 b",16.81350000,133.48860000
"WASP-172 b",17.59813000,149.38010000
"WASP-173 A b",13.45080000,1172.79270000
